Dataset,Detector,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_ROC_mean,AUC_ROC_std,AUC_PR_mean,AUC_PR_std,Time_mean,Time_std
satellite,HBOS,0.11765,0.0,0.8,0.0,0.91892,0.0,0.54413,0.0,0.21573,0.62266
satellite,CBLOF,0.12118,0.0051,0.824,0.03467,0.95814,0.00373,0.60554,0.00935,0.24808,0.70453
satellite,IForest,0.12314,0.00301,0.83733,0.02048,0.94657,0.00771,0.64044,0.02374,0.13892,0.0076
satellite,KNN,0.13529,0.0,0.92,0.0,0.97078,0.0,0.44694,0.0,0.04501,0.00379
satellite,LOF,0.08431,0.0,0.57333,0.0,0.67575,0.0,0.18325,0.0,0.04711,0.00139
satellite,OCSVM,0.12157,0.0,0.82667,0.0,0.93267,0.0,0.62098,0.0,2.65651,0.97784
breastcancer,HBOS,0.27027,0.0,1.0,0.0,0.97759,0.0,0.50759,0.0,0.01271,0.00196
breastcancer,CBLOF,0.25405,0.01793,0.94,0.06633,0.97787,0.00798,0.58741,0.04543,0.01291,0.00192
breastcancer,IForest,0.26757,0.00811,0.99,0.03,0.98196,0.00385,0.64032,0.04261,0.23822,0.02574
breastcancer,KNN,0.27027,0.0,1.0,0.0,0.97815,0.0,0.56365,0.0,0.0166,0.00104
breastcancer,LOF,0.27027,0.0,1.0,0.0,0.98459,0.0,0.65735,0.0,0.01659,0.00218
breastcancer,OCSVM,0.27027,0.0,1.0,0.0,0.98151,0.0,0.49525,0.0,0.01828,0.00123
speech,HBOS,0.01626,0.0,0.09836,0.0,0.4757,0.0,0.01894,0.0,0.22545,0.01156
speech,CBLOF,0.01978,0.00124,0.11967,0.00752,0.47186,0.00135,0.0169,0.00017,0.15613,0.02012
speech,IForest,0.01924,0.00548,0.11639,0.03315,0.47517,0.02116,0.01677,0.00141,0.34017,0.03895
speech,KNN,0.01897,0.0,0.11475,0.0,0.48621,0.0,0.01788,0.0,0.41498,0.03857
speech,LOF,0.02439,0.0,0.14754,0.0,0.50749,0.0,0.02185,0.0,0.29545,0.01163
speech,OCSVM,0.01897,0.0,0.11475,0.0,0.46658,0.0,0.01679,0.0,5.05873,0.17996
shuttle,HBOS,0.19132,0.0,0.9738,0.0,0.98425,0.0,0.95065,0.0,0.04029,0.01011
shuttle,CBLOF,0.18375,0.01111,0.97255,0.05881,0.98551,0.03319,0.76843,0.12011,0.07855,0.01767
shuttle,IForest,0.18652,0.00055,0.98713,0.00297,0.99759,0.00046,0.97755,0.00156,1.05658,0.06418
shuttle,KNN,0.12739,0.0,0.67426,0.0,0.89595,0.0,0.17992,0.0,5.31598,1.79837
shuttle,LOF,0.02066,0.0,0.10934,0.0,0.48006,0.0,0.04738,0.0,12.78994,0.20586
shuttle,OCSVM,0.18571,0.0,0.98292,0.0,0.99464,0.0,0.7796,0.0,220.05893,68.2289
